merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"509","Pad 158 Well 3","2","9","1"," 0000000204","5","1","1","12","18","46","17","31","e2230b853516e7b05d79744fbd4c9c13","df342630-cc93-4904-8a36-aaded3f6c52d","1"," 0000000204"
"677","Pad 286 Well 1","2","9","34"," 0000000526","7","1","1","10","22","312","17","85","71a3cb155f8dc89bf3d0365288219936","8b384dbc-49be-46df-b673-054820bc60a2","1"," 0000000526"
"94","Pad 237 Well 4","2","9","34"," 0000000369","6","1","1","19","1","1","17","81","f4b9ec30ad9f68f89b29639786cb62ef","41564d2d-00bc-4f1f-9e4f-56fb70d38241","1"," 0000000369"
"1103","Pad 347 Well 1","1","18","2"," 0000000843","17","3","2","54","11","104","42","149","aace49c7d80767cffec0e513ae886df0","5cba37a4-da4c-4811-99d1-24944442a6b1","1"," 0000000843"
"1100","Well 20","1","18","1"," 0000000795","22","3","3","54","12","103","42","149","1e6e0a04d20f50967c64dac2d639a577","c6d0ae0d-2d12-4317-b67f-84073f177039","1"," 0000000795"
"308","Pad 274 Well 4","2","9","34"," 0000000394","6","1","1","19","1","210","17","81","a8c88a0055f636e4a163a5e3d16adab7","302cf08b-9287-477f-96fb-3a13a3fd9ee1","1"," 0000000394"
"189","Pad 183 Well 1","2","9","1"," 0000000446","11","1","1","19","1","17","17","81","a2557a7b2e94197ff767970b67041697","ea64799e-d196-443c-8d98-1052934a2790","1"," 0000000446"
"1468","Well 167","1","18","2"," 0000000695","23","6","4","47","16","174","42","123","cec6f62cfb44b1be110b7bf70c8362d8","bf4fe991-3e80-4562-9a75-caab20d3f247","1"," 0000000695"
"2056","Pad 16 Well 1","2","18","34"," 0000000018","0","7","5","26","20","355","17","31","a96d3afec184766bfeca7a9f989fc7e7","65f8c69d-4e71-494f-94f0-8cdf54276b79","1"," 0000000018"
"556","Pad 306 Well 1","2","9","34"," 0000000298","8","1","1","28","1","305","17","81","11b921ef080f7736089c757404650e40","2b7fdce7-0b4d-499f-a127-e5b75df2871c","1"," 0000000298"
"2070","Pad 50 Well 1","2","18","34"," 0000000051","0","7","5","90","21","372","17","31","296472c9542ad4d4788d543508116cbc","3e3b0216-3b91-4220-b4eb-958544dd2171","1"," 0000000051"
"792","Pad 287 Well 5","2","9","1"," 0000000122","7","1","1","4","21","326","17","31","96ea64f3a1aa2fd00c72faacf0cb8ac9","15881c74-e90e-4163-9c57-7d9bf0ceceac","1"," 0000000122"
"574","Pad 302 Well 1","2","9","1"," 0000000001","8","1","1","22","9","232","17","15","f0e52b27a7a5d6a1a87373dffa53dbe5","b3ef777f-92ef-4337-b398-5b907638f188","1"," 0000000001"
"2165","Pad 82 Well 1","2","18","34"," 0000000520","0","7","5","1","22","434","17","85","8929c70f8d710e412d38da624b21c3c8","d82a00fe-662f-478a-826e-6231ef05b570","1"," 0000000520"
"393","Pad 198 Well 3","2","9","1"," 0000000151","5","1","1","12","19","40","17","31","70c639df5e30bdee440e4cdf599fec2b","40572f62-b4d9-4839-b974-ddb4936f5be1","1"," 0000000151"
"19","Pad 2 Well 1","2","9","1"," 0000000327","10","1","1","16","4","268","17","81","1f0e3dad99908345f7439f8ffabdffc4","f5025e23-4e00-4bec-b65b-957d9667424d","1"," 0000000327"
"2096","Pad 43 Well 1","2","18","34"," 0000000135","0","7","5","90","21","352","17","33","194cf6c2de8e00c05fcf16c498adc7bf","30a89a0c-4578-4c32-b838-953a29fb011d","1"," 0000000135"
"2169","Pad 26 Well 1","2","18","34"," 0000000029","0","7","5","26","21","438","17","31","bd0cc810b580b35884bd9df37c0e8b0f","4ef46db2-edf9-46b5-972e-9069cfa88329","1"," 0000000029"
"2162","Pad 60 Well 1","2","18","34"," 0000000529","0","7","5","90","21","431","17","85","86e78499eeb33fb9cac16b7555b50767","8ac5e655-4c9b-45fa-ba01-47e149d045b3","1"," 0000000529"
"688","Pad 12 Well 1","2","18","34"," 0000000121","0","7","5","19","21","397","17","31","f79921bbae40a577928b76d2fc3edc2a","96abca7f-1188-49b4-bc8c-f172dbc63b4d","1"," 0000000121"
"1495","Well 179","1","18","1"," 0000000711","27","6","4","47","16","178","42","123","fa1e9c965314ccd7810fb5ea838303e5",,"1"," 0000000711"
"618","Pad 191 Well 1","2","9","1"," 0000000460","8","1","1","19","1","56","17","81","eb6fdc36b281b7d5eabf33396c2683a2","8b321f47-4c50-4a24-aad6-60901f910255","1"," 0000000460"
"213","Pad 197 Well 1","2","9","1"," 0000000488","8","1","1","3","1","222","17","81",,"7cd6d0ea-4227-4d44-96f8-c748b1d3e712","1"," 0000000488"
"1216","Pad 364 Well 1","1","18","2"," 0000000849","17","3","2","53","11","123","42","149","3948ead63a9f2944218de038d8934305","c7c5d42c-5a4b-4af9-9f47-08cc2844429a","1"," 0000000849"
"575","Pad 302 Well 2","2","9","1"," 0000000002","8","1","1","22","9","232","17","15","ffeabd223de0d4eacb9a3e6e53e5448d","fb83edda-4a1f-4f95-84c7-4c0cb7ffef1c","1"," 0000000002"
"594","Pad 289 Well 5","2","9","1"," 0000000096","5","1","1","12","18","236","17","31","076a0c97d09cf1a0ec3e19c7f2529f2b","72cd662e-9578-46fc-991d-c72201d32157","1"," 0000000096"
