propnum,allocid,propname,apinum,nri
"ab88b15733f543179858600245108dd8","836","Pad 141 Well 1"," 0000000570","1"
"a9eb812238f753132652ae09963a05e9","1237","Well 80"," 0000000742","1"
"cb8da6767461f2812ae4290eac7cbc42","2153","Pad 82 Well 2"," 0000000594","0.81"
"65b9eea6e1cc6bb9f0cd2a47751a186f","105","Pad 212 Well 2"," 0000000616","0.91"
"5f93f983524def3dca464469d2cf9f3e","110","Pad 208 Well 3",,"0.85"
"b2eeb7362ef83deff5c7813a67e14f0a","596","Pad 240 Well 2"," 0000000478","1"
"22ac3c5a5bf0b520d281c122d1490650","852","Pad 331 Well 1"," 0000000320","0.79"
"7437d136770f5b35194cb46c1653efaa","1648","Pad 373 Well 3"," 0000000927","0.79"
"dc960c46c38bd16e953d97cdeefdbc68","1322","Pad 371 Well 1",,"1"
"7dc1c7653ac42a05642a667959c12239","2144","Pad 253 Well 1"," 0000000497","1"
"6ea9ab1baa0efb9e19094440c317e21b","29","Well 26"," 0000000147","0.77"
"fd06b8ea02fe5b1c2496fe1700e9d16c","1133","Well 41"," 0000000835","0.97"
"f73b76ce8949fe29bf2a537cfa420e8f","392","Pad 198 Well 2"," 0000000150","1"
"e58aea67b01fa747687f038dfde066f6","2308","Pad 100 Well 2",,"1"
"e70611883d2760c8bbafb4acb29e3446","710","Pad 174 Well 1",,"0.76"
"1f50893f80d6830d62765ffad7721742","880","Pad 114 Well 1"," 0000000353","0.97"
"571e0f7e2d992e738adff8b1bd43a521","1132","Well 40"," 0000000834","0.91"
"8303a79b1e19a194f1875981be5bdb6f","1691","Well 258"," 0000000837","1"
"68264bdb65b97eeae6788aa3348e553c","660","Pad 227 Well 1"," 0000000476","0.82"
"6ea2ef7311b482724a9b7b0bc0dd85c6","480","Pad 243 Well 2",,"0.76"
"abdbeb4d8dbe30df8430a8394b7218ef","2122","Pad 72 Well 2"," 0000000536","1"
"851ddf5058cf22df63d3344ad89919cf","614","Pad 201 Well 2"," 0000000176","1"
"59c33016884a62116be975a9bb8257e3","731","Pad 167 Well 1"," 0000000522","0.87"
"1728efbda81692282ba642aafd57be3a","564","Pad 126 Well 1"," 0000000110","1"
"92bbd31f8e0e43a7da8a6295b251725f","2118","Pad 75 Well 1"," 0000000514","0.98"
"53ed35c74a2ec275b837374f04396c03","2267","Pad 372 Well 2"," 0000000950","1"
"df4fe8a8bcd5c95cdb640aa9793bb32b","2057","Pad 8 Well 1"," 0000000024","0.97"
"d6288499d0083cc34e60a077b7c4b3e1","2257","Pad 6 Well 1"," 0000000222","0.92"
"f6e794a75c5d51de081dbefa224304f9","2132","Pad 63 Well 1"," 0000000562","0.88"
"e8d92f99edd25e2cef48eca48320a1a5","1665","Pad 373 Well 4"," 0000000925","0.91"
"3a824154b16ed7dab899bf000b80eeee","2022","Pad 382 Well 1"," 0000000944","1"
"f0935e4cd5920aa6c7c996a5ee53a70f","106","Pad 212 Well 3"," 0000000617","0.94"
"b2f627fff19fda463cb386442eac2b3d","601","Pad 311 Well 1"," 0000000423","1"
"a0f3601dc682036423013a5d965db9aa","1673","Pad 342 Well 3"," 0000000852","1"
"30bb3825e8f631cc6075c0f87bb4978c","589","Pad 259 Well 5"," 0000000091","1"
"074177d3eb6371e32c16c55a3b8f706b","2273","Pad 93 Well 2"," 0000000231","1"
"46922a0880a8f11f8f69cbb52b1396be","582","Pad 259 Well 3"," 0000000085","0.86"
"95151403b0db4f75bfd8da0b393af853","1461","Well 154"," 0000000817","1"
"698d51a19d8a121ce581499d7b701668","111","Pad 208 Well 4"," 0000000612","1"
"4a47d2983c8bd392b120b627e0e1cab4","705","Pad 171 Well 1"," 0000000596","0.81"
"c3992e9a68c5ae12bd18488bc579b30d","602","Pad 311 Well 2"," 0000000424","1"
"ca46c1b9512a7a8315fa3c5a946e8265","214","Pad 197 Well 2"," 0000000489","0.96"
"372d3f309fef061977fb2f7ba36d74d2","1465","Well 164"," 0000000692","0.95"
"a8e864d04c95572d1aece099af852d0a","780","Pad 110 Well 1"," 0000000336","1"
"6081594975a764c8e3a691fa2b3a321d","711","Pad 249 Well 1"," 0000000624","1"
"3871bd64012152bfb53fdf04b401193f","622","Pad 192 Well 4"," 0000000435","1"
"b8b4b727d6f5d1b61fff7be687f7970f","2004","Pad 346 Well 1"," 0000000941","0.89"
"109d2dd3608f669ca17920c511c2a41e","1528","Pad 393 Well 3"," 0000000922","0.75"
"e2c420d928d4bf8ce0ff2ec19b371514","71","Pad 213 Well 1"," 0000000552","0.92"
"d827f12e35eae370ba9c65b7f6026695","2303","Pad 94 Well 1"," 0000000633","0.75"
"47a658229eb2368a99f1d032c8848542","1136","Well 37"," 0000000787","1"
"7647966b7343c29048673252e490f736","89","Pad 237 Well 3"," 0000000376","1"
"d1a21da7bca4abff8b0b61b87597de73","2174","Pad 189 Well 1"," 0000000207","1"
"28dd2c7955ce926456240b2ff0100bde","77","Pad 193 Well 2"," 0000000463","1"
"350db081a661525235354dd3e19b8c05","2151","Pad 11 Well 2"," 0000000148","0.84"
"3493894fa4ea036cfc6433c3e2ee63b0","591","Pad 278 Well 4"," 0000000092","0.89"
"d7322ed717dedf1eb4e6e52a37ea7bcd","1007","Well 4"," 0000000659","0.93"
"c0e190d8267e36708f955d7ab048990d","219","Pad 19 Well 1"," 0000000139","1"
